
================================================================
======== FXServer starting - 5/27/2020, 4:42:47 AM
================================================================
Creating script environments for _cfx_internal
Found new resource hypnonema in C:/FXServer\server-data/resources//hypnonema
Found new resource RichPresence in C:/FXServer\server-data/resources//RichPresence
Found new resource vMenu in C:/FXServer\server-data/resources//vMenu
Found new resource monitor in C:\FXServer\server\citizen/system_resources//monitor
Found new resource webadmin in C:\FXServer\server\citizen/system_resources//webadmin
Found new resource el_bwh in C:/FXServer\server-data/resources//[admin]/el_bwh
Found new resource es_admincmds in C:/FXServer\server-data/resources//[admin]/es_admincmds
Found new resource es_camera in C:/FXServer\server-data/resources//[admin]/es_camera
Found new resource ambulance in C:/FXServer\server-data/resources//[cars]/ambulance
Found new resource bison in C:/FXServer\server-data/resources//[cars]/bison
Found new resource caddy in C:/FXServer\server-data/resources//[cars]/caddy
Found new resource copinsig in C:/FXServer\server-data/resources//[cars]/copinsig
Found new resource copvrs in C:/FXServer\server-data/resources//[cars]/copvrs
Found new resource copx5 in C:/FXServer\server-data/resources//[cars]/copx5
Found new resource jack_pack in C:/FXServer\server-data/resources//[cars]/jack_pack
Found new resource jack_pack2 in C:/FXServer\server-data/resources//[cars]/jack_pack2
Found new resource jack_pack3 in C:/FXServer\server-data/resources//[cars]/jack_pack3
Found new resource jack_pack4 in C:/FXServer\server-data/resources//[cars]/jack_pack4
Found new resource jack_pack5 in C:/FXServer\server-data/resources//[cars]/jack_pack5
Found new resource nhs in C:/FXServer\server-data/resources//[cars]/nhs
Found new resource oz_cars in C:/FXServer\server-data/resources//[cars]/oz_cars
Found new resource police2 in C:/FXServer\server-data/resources//[cars]/police2
Found new resource rib_pack in C:/FXServer\server-data/resources//[cars]/rib_pack
Found new resource rs3 in C:/FXServer\server-data/resources//[cars]/rs3
Found new resource speedycab in C:/FXServer\server-data/resources//[cars]/speedycab
Found new resource casino_anims in C:/FXServer\server-data/resources//[casino]/casino_anims
Found new resource casino_pack1 in C:/FXServer\server-data/resources//[casino]/casino_pack1
Found new resource casino_pack2 in C:/FXServer\server-data/resources//[casino]/casino_pack2
Found new resource casino_pack3 in C:/FXServer\server-data/resources//[casino]/casino_pack3
Found new resource casino_pack4 in C:/FXServer\server-data/resources//[casino]/casino_pack4
Found new resource casino_pack5 in C:/FXServer\server-data/resources//[casino]/casino_pack5
Found new resource casino_vehsounds in C:/FXServer\server-data/resources//[casino]/casino_vehsounds
Found new resource casino_vehsounds2 in C:/FXServer\server-data/resources//[casino]/casino_vehsounds2
Found new resource coordsaver in C:/FXServer\server-data/resources//[devstuff]/coordsaver
Found new resource gd_airport_ai_begone in C:/FXServer\server-data/resources//[disablepolice]/gd_airport_ai_begone
Found new resource norewards in C:/FXServer\server-data/resources//[disablepolice]/norewards
Found new resource PoliceVehiclesWeaponDeleter in C:/FXServer\server-data/resources//[disablepolice]/PoliceVehiclesWeaponDeleter
Found new resource ChangingRooms in C:/FXServer\server-data/resources//[esxmods]/ChangingRooms
Found new resource esx-qalle-sellvehicles in C:/FXServer\server-data/resources//[esxmods]/esx-qalle-sellvehicles
Found new resource esx_accessories in C:/FXServer\server-data/resources//[esxmods]/esx_accessories
Found new resource esx_AdvancedFishing in C:/FXServer\server-data/resources//[esxmods]/esx_AdvancedFishing
Found new resource esx_advert in C:/FXServer\server-data/resources//[esxmods]/esx_advert
Found new resource esx_ambulancejob in C:/FXServer\server-data/resources//[esxmods]/esx_ambulancejob
